name,planet_type,detection_method,discovery_year,year_class,mass_jup,rayon_jup,orbital_radius,orbital_period,eccentricity,distance,luminosité
11 Comae Berenices b,Gas Giant,Radial Velocity,2007,Before 2010,19.4,01.08,1.29,0.8925394,0.23,304.0,4.72307
11 Ursae Minoris b,Gas Giant,Radial Velocity,2009,Before 2010,14.74,01.09,1.53,1.4,0.08,409.0,5.013
14 Andromedae b,Gas Giant,Radial Velocity,2008,Before 2010,4.8,1.15,0.83,0.5086927,0.0,246.0,5.23133
14 Herculis b,Gas Giant,Radial Velocity,2002,Before 2010,8.13881,1.12,2.773069,4.8,0.37,58.0,6.61935
16 Cygni B b,Gas Giant,Radial Velocity,1996,Before 2010,1.78,1.2,1.66,2.2,0.68,69.0,6.215
17 Scorpii b,Gas Giant,Radial Velocity,2020,2010–2020,4.32,1.15,1.45,1.6,0.06,408.0,5.22606
18 Delphini b,Gas Giant,Radial Velocity,2008,Before 2010,10.3,1.11,2.6,2.7,0.08,249.0,5.51048
1RXS J160929.1-210524 b,Gas Giant,Direct Imaging,2008,Before 2010,8.0,1.664,330.0,6505.9,0.0,454.0,12.618
24 Bootis b,Gas Giant,Radial Velocity,2018,2010–2020,0.91,1.24,0.19,0.08323066,0.04,313.0,5.59
24 Sextantis b,Gas Giant,Radial Velocity,2010,2010–2020,1.99,1.19,1.333,1.2396988,0.09,235.0,6.4535
24 Sextantis c,Gas Giant,Radial Velocity,2010,2010–2020,0.86,1.24,02.08,2.4,0.29,235.0,6.4535
2M0437 b,Gas Giant,Direct Imaging,2021,After 2020,4.0,1.16,118.0,3110.6,0.0,419.0,16.186
2MASS J01033563-5515561 AB b,Gas Giant,Direct Imaging,2013,2010–2020,13.0,1.1,84.0,1767.2,0.0,154.0,15.788
2MASS J01225093-2439505 b,Gas Giant,Direct Imaging,2013,2010–2020,24.5,1.0,52.0,593.2,0.0,110.0,14.244
2MASS J12073346-3932539 b,Gas Giant,Direct Imaging,2004,Before 2010,5.0,1.15,55.0,2885.9,0.0,210.0,20.15
2MASS J19383260+4603591 b,Gas Giant,Eclipse Timing Variations,2015,2010–2020,1.9,1.2,0.92,1.1115674,0.33,1293.0,12.651
2MASS J22362452+4751425 b,Gas Giant,Direct Imaging,2016,2010–2020,12.5,1.1,230.0,4505.7,0.0,227.0,12.368
30 Arietis B b,Gas Giant,Radial Velocity,2009,Before 2010,13.82,1.1,0.99,0.9174538,0.29,146.0,7.09209
42 Draconis b,Gas Giant,Radial Velocity,2008,Before 2010,3.88,1.16,1.19,1.3117043,0.38,296.0,4.8262
47 Ursae Majoris b,Gas Giant,Radial Velocity,1996,Before 2010,2.53,1.18,2.1,3.0,0.03,45.0,5.03352
47 Ursae Majoris c,Gas Giant,Radial Velocity,2001,Before 2010,0.54,1.27,3.6,6.6,0.1,45.0,5.03352
